No,Location Code,CRM Location Name,Text to identify Mall,Text to identify Merchant,ZipCode to identify Mall,GST to identify Merchant
830,L73406614573,Queensbay Mall - BORDERS,QUEENSBAY MALL|QUEENSBAY|100% PERSIARAN|BAYAN INDAH|11900 BAYAN LEPAS,BORDERS::S|Tel  :  +604-646 8758|Fax  :  +604-643 4758|enquiry@borders|1F - 93 & 1F - 93A,,
831,L73391310771,Queensbay Mall - Bar B Q Plaza,Queensbay Mall|100 Persiaran|Bayan Indah|11900 Bayan Lepas,Bar B.Q. Plaza| No LG-42% Queen|Tel: 04-6468148|BARBECUE PLAZA|((682088-X))|W10-1808-31013504,,
832,L73406310930,Queensbay Mall - Brands Outlet,QUEENSBAY MALL,BRANDS OUTLET,,
833,L73470711183,Queensbay Mall - Bread History Bakery.Cafe,Queensbay Mall|100% Persiaran|Bayan Indah|11900 Pulau Pinang|Bayan Lepas,BREAD HISTORY|(636489-V)|Lot No.LG-73%76%80 & 81|Tel: 04-646 8070,,
835,L73073790476,Queensbay Mall - CHO DONG JIB Korean Restaurant,Queensbay Mall|Persiaran Bayan Indah|Bayan Lepas% Penang,CHO DONG JIB|BO KYUNG HOLDINGS|100-3F-08% Queen|Tel:04638 6675,,
836,L73009770018,Queensbay Mall - Caring Pharmacy,Queensbay Mall|100 Persiaran|Bayan Indah|Bayan Lepas,Caring Pharmacy|(296901-H)|Tel:604-6428928,,
838,L73394915530,Queensbay Mall - Dave's Deli,Queensbay Mall|100 Persiaran|Bayan Indah|11900 Bayan Lepas,DAVE'S DELI|Davesdeli|(305623-V)|LG051% Queen|Tel/Fax:04 - 643 2268|P11-1808-32000022,,
839,L73397210863,Queensbay Mall - ESPRIT,Queensbay Mall|100% Persiaran|Bayan Indah|Bayan Lepas,ESPRIT|(115493W)|GF-71 Queen|(604)642 4953,,
840,L73001240506,Queensbay Mall - Eu Yan Sang,Queensbay Mall% 100|Persiaran Bayan Indah|11900% Bayan Lepas,LG-18 &19%Lower|Eu Yan Sang|No.152 Changkat|No: 002040246272,,
841,L73083870471,Queensbay Mall - Go Noodle House,QUEENSBAY MALL|100% Persiaran Bayan|Bayan Lepas|11900% Pulau Pinang,GO NOODLE HOUSE|Big Stellar|(1193282-W)|P11-1808-32000101,,
842,L73304211036,Queensbay Mall - HOME'S HARMONY,QUEENSBAY MALL|PERSIARAN BAYAN INDAH|11900 PENANG,HOME'S HARMONY|MONSIEUR ( M )|( 121889-W )|LOT2F-43% 2ND FLOOR|TEL: 04-645 2192|FAX: 04-645 2473,,
843,L73400110971,Queensbay Mall - HONG KONG KIM GARY RESTAURANT,Queensbay Mall|100% Persiaran|Bayan Indah|11900 Bayan Lepas,KIM GARY|Natural Habitat|(822938-D)|1F-111 & 1F-113|Tel:04-644 8208|P11-1808-31018355,,
844,L73397510885,Queensbay Mall - Haagen-Dazs,Queensbay Mall,Haagen-Dazs|General Mills|(469179-A)|W10-1808-32000703|Tel: 04-6411 936,,
845,L73407316074,Queensbay Mall - Harvey Norman,Queensbay Mall|100 Persiaran|Bayan Indah|11900 Penang,Harvey Norman|Elitetrax Market|(616227-D)|Lot 2F-86 South Zone|TEL:04-229 8886,,
846,L73200633384,Queensbay Mall - Hoshino Coffee,Queensbay Mall|Persiaran Bayan Indah|Bayan Lepas% Pulau Penang,Hoshino Coffee|Lot G-01% Queen|Tel:(604) 630 9293,,
847,L73019753153,Queensbay Mall - Idealite ????,QUEENSBAY|100 PERSIARAN|BAYAN INDAH|11900 BAYAN LEPAS,IDEALITE (QBAY)|THE LITE (QBAY)|(1191444-P)|TEL : 04-643 1228,,
848,L73389717249,Queensbay Mall - Kiehl's,Queensbay,Kiehl's|Kiehl's BOUTIQUE|LOREAL|(328418A)|Level 8%13A &15 Uptown 2|TEL: 04 - 6448600,,
849,L73286110881,Queensbay Mall - L'OCCITANE,Queensbay Mall|Persiaran Bayan Indah|11900 Bayan Lepas,L'OCCITANE|EN PROVENCE|GF-99 Ground|TEL : +604-643 3718|FAX: +604-643 3682,,
850,L733052010991,Queensbay Mall - Menya Miyabi,Queensbay Mall|100 Persiaran|Bayan Indah|Bayan Lepas,Menya Miyabi|Hokkaido Ramen|Tel : +604-645 3811|Miyabi Hokkaido|(1048651-U)|No.P11-1808-32000157,,
851,L731362115827,Queensbay Mall - Morganfield's,Queensbay Mall|100% Persiaran|11900 Bayan Indah|Bayan Lepas,Morganfield's|P11-1808-31037956|Unit GF 38 & 39|Tel: 04 643 5049|Money Acres|(1046854D),,
852,L73402911073,Queensbay Mall - Neway Karaoke Box,Queensbay Mall|11900 Bayan Lepas,Sunsteps Fortune|3rd Floor% Queen|TEL : 04-642 9029|P13-1808-31017447,,
853,L73395410806,Queensbay Mall - Nippon Yataimura,QUEENSBAY MALL|100 PERSIARAN|11900 BAYAN INDAH|BAYAN LEPAS PENANG,NIPPON YATAIMURA|LG-85A%QUEEN|TEL: (604)646 8763|FAX:(604)637 0117|P11-1808-31039119,,
854,L73315610764,Queensbay Mall - POPULAR,QUEENSBAY MALL,POPULAR BOOK|(Co. No. 113825-W)|Jalan 7/118B% Desa Tun|Tel : 04-6457542/43,,
855,L73300911070,Queensbay Mall - Padini Concept Store,QUEENSBAY MALL,PADINI CONCEPT|Padini|(510558-H)|No.19% JALAN JURUNILAI% U1/20|Tel:04-6438996,,
857,L73353411039,Queensbay Mall - SAKAE SUSHI,QUEENSBAY MALL 100|PERSIARAN BAYAN INDAH|11900 BAYAN LEPAS,SAKAE SUSHI|APEX PAL|(634333-X)|TEL: 04-240 9327|W10-1808-31010395,,
858,L73002150277,Queensbay Mall - STARBUCKS COFFEE,Queensbay Mall,BERJAYA STARBUCKS|(462026-H)|Lot 10-04% Level 10% West Berjaya|starbucks,,
859,L73289210826,Queensbay Mall - SUSHI KING,Queensbay Mall|Persiaran Bayan Indah|11900 Bayan Lepas,SUSHI KING|(330201-V)|LG-93% 100|TEL : 04-6412799|B16-1808-31025290|sushi-king,,
860,L73019433016,Queensbay Mall - Sasa,Queensbay Mall|100% Persiaran|Bayab Indah|11900 Bayan Indah,SA SA COSMETICS|Dimiliki oleh|[446777-M]|1F% 115 & 113A,,
861,L73303811027,Queensbay Mall - Sen Q,QUEENSBAY MALL|100%PERSIARAN|BAYAN INDAH|11900 BAYAN LEPAS,SENHENG ELECTRIC|2F-07% QUEEN|Tel No : 011-10888421|Fax No : 04-8411052|000179486720,,
862,L731948110857,Queensbay Mall - Sephora,Queensbay Mall|100 Persiaran Bayan Indah|11900 PENANG,BEAUTY IN MOTION|SEPHORA|TEL : +604 - 643 7554|001234649088,,
863,L73428014060,Queensbay Mall - Sushi Tei,Queensbay Mall|Persiaran Bayan Indah|11900 Bayan Lepas,Sushi Tei|3F-22A% Queen|Tel:04-6433981|(947477-X)|P11-1808-31012535,,
864,L73297310948,Queensbay Mall - Switch,Queensbay Mall,SG Computer::SG|(389271-M)|switch.com|Tel: 04-6465591|P11-1809-32000057,,
865,L73077270281,Queensbay Mall - THE SIX CANTONESE RESTAURANT,QUEENSBAY MALL|100 PERSIARAN|BAYAN INDAH|11900 BAYAN LEPAS,THE SIX CANTONESE|(1067237)|TEL: 04-6466 666|P11-1808-32100084,,
866,L73003550166,Queensbay Mall - THEFACESHOP,QUEENSBAY MALL|Indah% Bayan Lep|100 Persiaran Bayan,THE FACE SHOP|Lot 1F-062 (1st Floor)% Indah|EL: 604-611 5723,,
867,L73004923128,Queensbay Mall - TOYSRUS,Queensbay Mall|Persiaran Bayan Indah|11900% Pulau Pinang,TOYS'R'US|(CO. NO. 165401-A)|2F - 73A% Queen|TEL:604 - 6412006|toysrus,,
868,L73271310840,Queensbay Mall - The Body Shop,QUEENSBAY MALL,THE BODY SHOP|TEL: +6016 2236315|(117711-H),,
869,L73284110867,Queensbay Mall - The Coffee Bean & Tea Leaf,Queens Bay Mall|Bayan Lepas|11900 Pulau Pinang,THE COFFEE BEAN|No.:441970-H|TEA LEAF (M) SDN.|B16-1809-32000660,,
870,L73574414670,Queensbay Mall - UNIQLO,Queensbay Mall|Persiaran Bayan Indah|11900 Bayan Lepas,UNIQLO|(904031-T)|1F-93A & 93 (A)|TEL:04-644-8300,,
871,L73361110848,Queensbay Mall - Voir Gallery,QUEENSBAY MALL,VOIR|VOIR SB (169951 - A)|GF-01 & GF-03A|TEL: 04-6411705|000429588480,,
872,L73278710774,Queensbay Mall - Watsons,Queensbay Mall,Watson's|Personal Care|No. :289892V,,
873,L73287310849,Queensbay Mall - Winter Warmers Coffee & Tea House,Queensbaymall|100Persiaran Bayan Lepas|11900 Bayan Lepas,Winter Warmers|(579174-K)|Gf19(gs06)% Queen|Tel: 04-6422848|P13-1808-31011823,,
874,L73278610818,Queensbay Mall - guardian,QueensBay Mall Penang|Persiaran Bayan Indah,Guardian Health And Beauty|LG 88 Lower|Tel:04-646 6508|Reg #1101083-T,,
875,L73076640469,Queensbay Mall - ??? The Little Nyonya Cuisine,Queensbay Mall|Persiaran Bayan Indah|11900 Bayan Lepas,The Little Nyonya Cuisine|Little Nyonya|(1021544-W)|LG 116 & 117 Queen|Tel: 046437496|P11-1808-32000052,,
876,L57251173222,Raffles City Singapore - Fish & Co,252 North Bridge|Raffles City,FISH & CO.|Road #B1-63/64|Tel : 62554971,179103,19982488M
877,L57126990664,Raffles City Singapore - IROO,252 North Bridge|Raffles City,IROO|TEL:6352 2989|Road #01-11,179103,201000995D
879,L57251223158,Raffles City Singapore - Marugame Udon & Tempura,252 North Bridge|Raffles City,Road% #B1-14/15|Tel: 62587831,179103,201630486E
880,L57136210575,Raffles City Singapore - Melissa/Mdreams,252 North Bridge|Raffles City,ENVIABLY ME|Melissa|Tel No.:6535 7546,,200923653Z
882,L57251093165,Raffles City Singapore - innisfree,252 North Bridge|Raffles City,innisfree|Natural Benefits|IF SG RAFFLES::IF SG|Tel No: 6254 1784,179103,200107846H
885,L03201143169,Tampines Mall - BIG FISH SMALL FISH,TAMPINES CENTRAL 5,BIG FISH SMALL FISH|#B1-K3% SING,529510,201715332M
886,L03201083111,Tampines Mall - DEN and Osaka Ohsho,Tampines Mall|Tampines Central 5,Bachmann Japanese|#04-19 Tamp|Tel: 67876422,529510,M90370629T
887,L03030103089,Tampines Mall - FOX Kids & Baby,Tampines Central 5|Tampines Mall,FOX|5 #03-20/21|No.:6787 6525,529510,200005993W
888,L0301560062,Tampines Mall - Kiehl's SINCE 1851,Tampines Mall|Tampines Central 5,Kiehl's|L'OREAL|TEL: 65857610,529510,M200921178
889,L0301470462,Tampines Mall - PAZZION,Tampines Mall|Tampines Central 5,PAZZION|Fabulously You|Phone 68769130,,200200886H
890,L0331900382,Tampines Mall - Pierre Cardin,TAMPINES|Tampines Central|Tampines Mall,pierre cardin|Central #02-16A|Tel: 67839048,529510,199805501W
891,L03069530455,Tampines Mall - TOG,Tampines Mall|Tampines Central 5,TOG Connection::TOG|Phone: 65380144,529510,201229862H
892,L0313360248,Tampines Mall - Winter Time,Tampines Mall|Tampines Central 5,Winter Time|Phone : 6789 5526|#02-12 Tamp,529510,M90370310T
894,L15200933053,The Atrium@Orchard - Typhoon Caf?,Plaza Singapura|68 Orchard Road,Typhoon Cafee|Tai Feng Bistro|Road #04-63,238839,201723807G
895,L15202193078,The Atrium@Orchard - arteastiq Bistro,PLAZA SINGAPURA|68 ORCHARD RD,ARTEASTIQ BISTRO|28839 #03-70/72,238839,201524853R
896,L71003250585,The Mines - Giant,THE MINES,GIANT HYPERMARKET|(667035-P)|001952423936|03-89423988/011-51520750,,
897,L71084620646,The Mines - Oliver Gourmet,THE MINES|JALAN DULANG,OLIVER GOURMENT|(1194838-U)|001228156928,,
898,L22202453079,The Star Vista - 5 SENSES,VISTA EXCHANGE GREEN|STAR VISTA,FIVE SENSES|TEL : 6339 1435|VISTA #02-21,138617,201608675G
900,L22068590375,The Star Vista - PORN?s sexy.thai. food,Vista Exchange Green|Star Vista,Porn's Sexy Thai Food|#02-09%1 Vista,138617,
901,L22013020354,The Star Vista - Qi Ji,Vista Exchange Green|Star Vista,Qi Ji|#01-22(S),138617,200415081E
902,L22202553043,The Star Vista - Xiao Man Niu Mala Xiang Guo,VISTA EXCHANGE GREEN|STAR VISTA,XIAO MAN NIU|MALA ZIANG GUO|#01-41 THE|TEL : 9720 7285/9220,138617,201409353E
905,L25088113044,Westgate - Aloha Pok?,3 Gateway Drive|Westgate,aloha poke|Ono Poke Ehiku|Drive #01-09,608532,201734700K
908,L25200533313,Westgate - Eureka SNACK BAR,Gateway Drive|Westgate,EUREKA SNACK BAR|DRIVE #02-K4|TEL: +65 6266 0961|EurekaSnackSG,608532,
909,L25202513001,Westgate - Gochiso Shokudo,3 Gateway Dr,GOCHI-SO SHOKUDO|Dr #01-02 Sing|Tel : 6909 6120,608532,201606577C
912,L25201773327,Westgate - MR D.I.Y.,Gateway Drive|Westgate,MR. D.I.Y.|(201731228C)|#03-46/47/48 WEST,608532,
913,L25202413070,Westgate - PARADISE DYNASTY / CANTON PARADISE Noodle & Cong,Gateway Drive|Westgate,Paradise Dynasty|#02-13/14 West|Tel: 6465 9271|Fax: 6465 9272,608532,201010512H
914,L2501210001,Westgate - StarHub,Gateway Drive|Westgate,STARHUB LTD|StarHub,,M90005650C
915,L25068320583,Westgate - The Closet Lover,Gateway Drive|Westgate,ONE MGP|DRIVE #02-32|mgplabel,608532,
916,L25070773293,Westgate - YISHion ??,Gateway Drive|Westgate,YSGP020/00L11|#02-44% West|+65 6254 0662|Yishion,,201111572E
